Time,si,mg
731374.333333333,5.64,1.21
731374.334027778,5.28,1.22
731374.416666667,5.31,1.15
731374.417361111,4.94,1.08
731374.5,5.35,1.13
731374.500694444,5.04,1.14
731374.583333333,5.4,1.21
731374.584027778,5.19,1.22
731374.666666667,4.51,1.27
731374.667361111,4.59,1.26
731374.75,3.2,0.98
731374.750694444,3.2,1
731374.833333333,3.7,1.16
731374.834027778,3.47,1.15
731374.916666667,4.03,1.22
731374.917361111,3.96,1.19
731375,4.2,1.21
731375.000694444,4.27,1.3
731375.083333333,4.19,1.2
731375.084027778,4.37,1.26
731375.166666667,4.18,1.19
731375.167361111,4.54,1.3
731375.25,3.94,1.13
731375.250694444,4.25,1.19
731375.333333333,4.19,1.24
731375.334027778,4.42,1.34
731375.416666667,NaN,NaN
731375.417361111,4.57,1.15
731375.418055556,4.87,1.27
731375.5,4.51,0.86
731375.500694444,4.73,0.83
731375.583333333,5.93,0.99
731375.584027778,6.2,1
731375.666666667,7.74,1.05
731375.667361111,8.57,1.1
731375.75,7.68,1.07
731375.750694444,7.66,1.02
731375.833333333,6.22,1.24
731375.834027778,6.21,1.11
731375.916666667,4.6,1.23
731375.917361111,4.59,1.26
731376,4.62,1.29
731376.000694444,4.47,1.28
731376.083333333,NaN,NaN
731376.084027778,4.37,1.34
731376.166666667,NaN,NaN
731376.167361111,4.32,1.24
731376.25,4.38,1.27
731376.250694444,4.42,1.34
731376.333333333,NaN,NaN
731376.334027778,3.81,1.19
731376.416666667,NaN,NaN
731376.417361111,4.15,1.21
731376.5,2.31,0.64
731376.500694444,3.51,1.06
731376.583333333,NaN,NaN
731376.584027778,3.21,1.02
731376.666666667,NaN,NaN
731376.667361111,4.04,1.24
731376.75,3.87,1.22
731376.750694444,3.4,1.15
731376.833333333,NaN,NaN
731376.834027778,3.6,1.41
731376.916666667,NaN,NaN
731376.917361111,3.52,1.47
731377,4.5,1.44
731377.000694444,4.2,1.41
731377.083333333,NaN,NaN
731377.084027778,4.74,1.21
731377.166666667,NaN,NaN
731377.167361111,3.27,0.86
731377.25,3.94,1
731377.250694444,3.84,1.01
731377.333333333,NaN,NaN
731377.334027778,4.83,1.11
731377.416666667,NaN,NaN
731377.417361111,4.21,0.97
731377.5,4.01,1.07
731377.500694444,3.72,0.99
731377.583333333,NaN,NaN
731377.584027778,4.05,1.09
731377.625,NaN,NaN
731377.666666667,NaN,NaN
731377.667361111,NaN,NaN
731377.668055556,4.09,1.06
731377.75,3.87,1.05
731377.750694444,3.57,1
731377.833333333,NaN,NaN
731377.834027778,4.61,1.22
731377.916666667,NaN,NaN
731377.917361111,5.4,1.33
731378,5.18,1.22
731378.000694444,5.39,1.28
731378.083333333,NaN,NaN
731378.084027778,5.95,1.36
731378.166666667,NaN,NaN
731378.167361111,3.99,1.03
731378.25,4.85,1.2
731378.250694444,4.57,1.15
731378.333333333,NaN,NaN
731378.334027778,4.18,1.06
731378.416666667,NaN,NaN
731378.417361111,3.72,0.97
731378.5,3.95,1.05
731378.500694444,4.19,1.14
731378.583333333,NaN,NaN
731378.584027778,4.64,1.19
731378.666666667,NaN,NaN
731378.667361111,4.66,1.21
731378.75,4.13,1.08
731378.750694444,4.44,1.16
731378.833333333,NaN,NaN
731378.834027778,4.36,1.11
731378.916666667,NaN,NaN
731378.917361111,5.6,1.66
731379,2.85,0.76
731379.000694444,2.95,0.78
731379.083333333,NaN,NaN
731379.084027778,4.12,1.13
731379.166666667,NaN,NaN
731379.167361111,4.18,0.99
731379.5,4.23,1.03
731379.500694444,4.63,1.12
731379.583333333,NaN,NaN
731379.584027778,4.5,1.11
731379.833333333,NaN,NaN
731379.834027778,3.76,1.11
731379.916666667,NaN,NaN
