Time,si_in,mg_in
731358.917361111,NaN,NaN
731359,2.38,0.55
731359.000694444,NaN,NaN
731359.083333333,NaN,NaN
731359.084027778,NaN,NaN
731359.166666667,NaN,NaN
731359.167361111,NaN,NaN
731359.25,NaN,NaN
731359.250694444,NaN,NaN
731359.333333333,NaN,NaN
731359.334027778,NaN,NaN
731359.416666667,NaN,NaN
731359.417361111,NaN,NaN
731359.5,2.63,0.67
731359.500694444,NaN,NaN
731359.583333333,NaN,NaN
731359.584027778,NaN,NaN
731359.666666667,NaN,NaN
731359.667361111,NaN,NaN
731359.75,NaN,NaN
731359.750694444,NaN,NaN
731359.833333333,3.75,1.02
731359.834027778,NaN,NaN
731359.916666667,NaN,NaN
731359.917361111,NaN,NaN
731360,NaN,NaN
731360.000694444,NaN,NaN
731360.083333333,NaN,NaN
731360.084027778,NaN,NaN
731360.166666667,NaN,NaN
731360.167361111,NaN,NaN
731360.25,NaN,NaN
731360.250694444,NaN,NaN
731360.333333333,NaN,NaN
731360.334027778,NaN,NaN
731360.416666667,NaN,NaN
731360.417361111,NaN,NaN
731360.5,2.8,0.77
731360.500694444,NaN,NaN
731360.583333333,NaN,NaN
731360.584027778,NaN,NaN
731360.666666667,NaN,NaN
731360.667361111,NaN,NaN
731360.833333333,NaN,NaN
731360.834027778,NaN,NaN
731360.916666667,NaN,NaN
731360.917361111,NaN,NaN
731361,3.25,0.84
731361.000694444,NaN,NaN
731361.005555556,NaN,NaN
731361.083333333,NaN,NaN
731361.084027778,NaN,NaN
731361.166666667,NaN,NaN
731361.167361111,NaN,NaN
731361.25,NaN,NaN
731361.250694444,NaN,NaN
731361.333333333,NaN,NaN
731361.334027778,NaN,NaN
731361.416666667,NaN,NaN
731361.417361111,NaN,NaN
731361.5,3.83,1.95
731361.500694444,NaN,NaN
731361.583333333,NaN,NaN
731361.584027778,NaN,NaN
731361.666666667,NaN,NaN
731361.667361111,NaN,NaN
731361.75,NaN,NaN
731361.750694444,NaN,NaN
731361.833333333,NaN,NaN
731361.834027778,NaN,NaN
731361.916666667,NaN,NaN
731361.917361111,NaN,NaN
731362,NaN,NaN
731362.000694444,NaN,NaN
731362.001388889,NaN,NaN
731362.002083333,NaN,NaN
731362.166666667,NaN,NaN
731362.167361111,NaN,NaN
731362.25,NaN,NaN
731362.250694444,NaN,NaN
731362.333333333,NaN,NaN
731362.334027778,NaN,NaN
731362.416666667,NaN,NaN
731362.417361111,NaN,NaN
731362.5,2.82,0.93
731362.500694444,NaN,NaN
731362.583333333,NaN,NaN
731362.584027778,NaN,NaN
731362.666666667,NaN,NaN
731362.667361111,NaN,NaN
731362.75,NaN,NaN
731362.750694444,NaN,NaN
731362.833333333,NaN,NaN
731362.834027778,NaN,NaN
731362.916666667,NaN,NaN
731362.917361111,NaN,NaN
731363,1.41,0.87
731363.000694444,NaN,NaN
731363.083333333,NaN,NaN
731363.084027778,NaN,NaN
731363.166666667,NaN,NaN
731363.167361111,NaN,NaN
731363.25,NaN,NaN
731363.250694444,NaN,NaN
731363.333333333,NaN,NaN
731363.334027778,NaN,NaN
731363.388888889,NaN,NaN
731363.389583333,NaN,NaN
731363.416666667,NaN,NaN
731363.417361111,NaN,NaN
731363.520833333,1.42,1
731363.521527778,NaN,NaN
731363.583333333,NaN,NaN
731363.584027778,NaN,NaN
731363.666666667,NaN,NaN
731363.667361111,NaN,NaN
731363.75,NaN,NaN
731363.750694444,NaN,NaN
731363.833333333,NaN,NaN
731363.834027778,NaN,NaN
731363.916666667,NaN,NaN
731363.917361111,NaN,NaN
731364,2.4,0.8
731364.000694444,NaN,NaN
731364.083333333,NaN,NaN
731364.084027778,NaN,NaN
731364.166666667,NaN,NaN
731364.167361111,NaN,NaN
731364.25,NaN,NaN
731364.250694444,NaN,NaN
731364.333333333,NaN,NaN
731364.334027778,NaN,NaN
731364.416666667,NaN,NaN
731364.417361111,NaN,NaN
731364.5,1.77,0.7
731364.500694444,NaN,NaN
731364.583333333,NaN,NaN
731364.584027778,NaN,NaN
731364.666666667,NaN,NaN
731364.667361111,NaN,NaN
731364.75,NaN,NaN
731364.750694444,NaN,NaN
731364.833333333,NaN,NaN
731364.834027778,NaN,NaN
731364.916666667,NaN,NaN
731364.917361111,NaN,NaN
731365,NaN,NaN
731365.000694444,NaN,NaN
731365.083333333,NaN,NaN
731365.084027778,NaN,NaN
731365.166666667,NaN,NaN
731365.167361111,NaN,NaN
731365.25,NaN,NaN
731365.250694444,NaN,NaN
731365.333333333,NaN,NaN
731365.334027778,NaN,NaN
731365.416666667,NaN,NaN
731365.417361111,NaN,NaN
731365.5,3.36,0.9
731365.500694444,NaN,NaN
731365.583333333,NaN,NaN
731365.584027778,NaN,NaN
731365.666666667,NaN,NaN
731365.667361111,NaN,NaN
731365.75,NaN,NaN
731365.750694444,NaN,NaN
731365.833333333,NaN,NaN
731365.834027778,NaN,NaN
731365.916666667,NaN,NaN
731365.917361111,NaN,NaN
731366,3.07,0.88
731366.000694444,NaN,NaN
731366.083333333,NaN,NaN
731366.084027778,NaN,NaN
731366.166666667,NaN,NaN
731366.167361111,NaN,NaN
731366.25,NaN,NaN
731366.250694444,NaN,NaN
731366.333333333,NaN,NaN
731366.334027778,NaN,NaN
731366.416666667,NaN,NaN
731366.417361111,NaN,NaN
731366.5,2.75,0.89
731366.500694444,NaN,NaN
731366.583333333,NaN,NaN
731366.584027778,NaN,NaN
731366.666666667,NaN,NaN
731366.667361111,NaN,NaN
731366.75,2.07,0.69
731366.750694444,NaN,NaN
731366.833333333,NaN,NaN
731366.834027778,NaN,NaN
731366.916666667,NaN,NaN
731366.917361111,NaN,NaN
731367,1.91,0.8
731367.000694444,NaN,NaN
731367.166666667,NaN,NaN
731367.167361111,NaN,NaN
731367.25,NaN,NaN
731367.250694444,NaN,NaN
731367.333333333,NaN,NaN
731367.334027778,NaN,NaN
731367.416666667,NaN,NaN
731367.417361111,NaN,NaN
731367.5,2.16,0.53
731367.500694444,NaN,NaN
731367.583333333,NaN,NaN
731367.584027778,NaN,NaN
731367.666666667,NaN,NaN
731367.667361111,NaN,NaN
731367.75,NaN,NaN
731367.750694444,NaN,NaN
731367.833333333,NaN,NaN
731367.834027778,NaN,NaN
731367.916666667,NaN,NaN
731367.917361111,NaN,NaN
731368,1.49,0.66
731368.000694444,NaN,NaN
731368.083333333,NaN,NaN
731368.084027778,NaN,NaN
731368.166666667,NaN,NaN
731368.167361111,NaN,NaN
731368.25,NaN,NaN
731368.250694444,NaN,NaN
731368.251388889,NaN,NaN
731368.333333333,NaN,NaN
731368.334027778,NaN,NaN
731368.416666667,NaN,NaN
731368.417361111,NaN,NaN
731368.5,3.44,1.78
731368.500694444,NaN,NaN
731368.583333333,NaN,NaN
731368.584027778,NaN,NaN
731368.663194445,NaN,NaN
731368.663888889,NaN,NaN
731368.75,NaN,NaN
731368.750694444,NaN,NaN
731368.833333333,NaN,NaN
731368.834027778,NaN,NaN
731368.916666667,NaN,NaN
731368.917361111,NaN,NaN
731369,3.22,0.98
731369.000694444,NaN,NaN
731369.083333333,NaN,NaN
731369.084027778,NaN,NaN
731369.166666667,NaN,NaN
731369.167361111,NaN,NaN
731369.25,NaN,NaN
731369.250694444,NaN,NaN
731369.333333333,NaN,NaN
731369.334027778,NaN,NaN
731369.416666667,NaN,NaN
731369.417361111,NaN,NaN
731369.5,2.85,0.63
731369.500694444,NaN,NaN
731369.583333333,NaN,NaN
731369.584027778,NaN,NaN
731369.666666667,NaN,NaN
731369.667361111,NaN,NaN
731369.75,NaN,NaN
731369.750694444,NaN,NaN
731369.833333333,NaN,NaN
731369.834027778,NaN,NaN
731369.916666667,NaN,NaN
731369.917361111,NaN,NaN
731370,2.67,0.58
731370.000694444,NaN,NaN
731370.083333333,NaN,NaN
731370.084027778,NaN,NaN
731370.166666667,NaN,NaN
731370.167361111,NaN,NaN
731370.25,NaN,NaN
731370.250694444,NaN,NaN
731370.333333333,NaN,NaN
731370.334027778,NaN,NaN
731370.416666667,NaN,NaN
731370.417361111,NaN,NaN
731370.5,2.96,0.65
731370.500694444,NaN,NaN
731370.583333333,NaN,NaN
731370.584027778,NaN,NaN
731370.666666667,NaN,NaN
731370.667361111,NaN,NaN
731370.75,NaN,NaN
731370.750694444,NaN,NaN
731370.916666667,NaN,NaN
731370.917361111,NaN,NaN
731371,3.11,0.63
731371.000694444,NaN,NaN
731371.083333333,NaN,NaN
731371.084027778,NaN,NaN
731371.166666667,NaN,NaN
731371.167361111,NaN,NaN
731371.25,NaN,NaN
731371.250694444,NaN,NaN
731371.333333333,NaN,NaN
731371.334027778,NaN,NaN
731371.5,2.61,0.75
731371.500694444,NaN,NaN
731371.583333333,NaN,NaN
731371.584027778,NaN,NaN
731371.666666667,NaN,NaN
731371.667361111,NaN,NaN
731371.75,NaN,NaN
731371.750694444,NaN,NaN
731371.833333333,NaN,NaN
731371.834027778,NaN,NaN
731371.916666667,NaN,NaN
731371.917361111,NaN,NaN
731372,2.7,0.84
731372.000694444,NaN,NaN
731372.083333333,NaN,NaN
731372.084027778,NaN,NaN
731372.166666667,NaN,NaN
731372.167361111,NaN,NaN
731372.25,NaN,NaN
731372.250694444,NaN,NaN
731372.333333333,NaN,NaN
731372.334027778,NaN,NaN
731372.416666667,NaN,NaN
731372.417361111,NaN,NaN
731372.5,2.54,0.81
731372.500694444,NaN,NaN
731372.583333333,NaN,NaN
731372.584027778,NaN,NaN
731373.083333333,NaN,NaN
731373.084027778,NaN,NaN
731373.166666667,NaN,NaN
731373.167361111,NaN,NaN
731373.25,NaN,NaN
731373.250694444,NaN,NaN
731373.333333333,NaN,NaN
731373.334027778,NaN,NaN
731373.334722222,NaN,NaN
731373.416666667,NaN,NaN
731373.417361111,NaN,NaN
731373.496527778,2.46,0.82
731373.497222222,NaN,NaN
731373.579861111,NaN,NaN
731373.580555556,NaN,NaN
731373.663194445,NaN,NaN
731373.663888889,NaN,NaN
731373.75,NaN,NaN
731373.750694444,NaN,NaN
731373.833333333,NaN,NaN
731373.834027778,NaN,NaN
731373.916666667,NaN,NaN
731373.917361111,NaN,NaN
731374,3.78,1.37
731374.000694444,NaN,NaN
731374.083333333,NaN,NaN
731374.084027778,NaN,NaN
731374.166666667,NaN,NaN
731374.167361111,NaN,NaN
731374.25,NaN,NaN
